id,userid,dataid,path,type,status,createdon,modifiedon,modifiedby
0,0,0,person63_bacteria_306.jpeg,1,0,20220115110614,20220115110614,0
1,0,0,person1438_bacteria_3721.jpeg,1,0,20220115110614,20220115110614,0
2,0,0,person755_bacteria_2659.jpeg,1,0,20220115110614,20220115110614,0
3,0,0,person478_virus_975.jpeg,1,0,20220115110614,20220115110614,0
4,0,0,NORMAL2-IM-0927-0001.jpeg,1,0,20220115110614,20220115110614,0
5,0,0,person661_bacteria_2553.jpeg,1,0,20220115110614,20220115110614,0
6,0,0,person276_bacteria_1296.jpeg,1,0,20220115110614,20220115110614,0
7,0,0,person1214_bacteria_3166.jpeg,1,0,20220115110614,20220115110614,0
8,0,0,person1353_virus_2333.jpeg,1,0,20220115110614,20220115110614,0
9,0,0,person26_bacteria_122.jpeg,1,0,20220115110614,20220115110614,0
10,0,0,person124_virus_238.jpeg,1,0,20220115110614,20220115110614,0
11,0,0,person1619_bacteria_4261.jpeg,1,0,20220115110614,20220115110614,0
12,0,0,person890_bacteria_2814.jpeg,1,0,20220115110614,20220115110614,0
13,0,0,person1514_bacteria_3964.jpeg,1,0,20220115110614,20220115110614,0
14,0,0,NORMAL2-IM-1056-0001.jpeg,1,0,20220115110614,20220115110614,0
15,0,0,IM-0427-0001.jpeg,1,0,20220115110614,20220115110614,0
16,0,0,person1491_bacteria_3893.jpeg,1,0,20220115110614,20220115110614,0
17,0,0,person69_bacteria_338.jpeg,1,0,20220115110614,20220115110614,0
18,0,0,NORMAL2-IM-1260-0001.jpeg,1,0,20220115110614,20220115110614,0
19,0,0,person321_bacteria_1489.jpeg,1,0,20220115110614,20220115110614,0
20,0,0,person281_bacteria_1329.jpeg,1,0,20220115110614,20220115110614,0
21,0,0,person688_bacteria_2584.jpeg,1,0,20220115110614,20220115110614,0
22,0,0,person1598_bacteria_4197.jpeg,1,0,20220115110614,20220115110614,0
23,0,0,person535_virus_1062.jpeg,1,0,20220115110614,20220115110614,0
24,0,0,IM-0656-0001-0001.jpeg,1,0,20220115110614,20220115110614,0
25,0,0,IM-0561-0001.jpeg,1,0,20220115110614,20220115110614,0
26,0,0,person1222_bacteria_3177.jpeg,1,0,20220115110614,20220115110614,0
27,0,0,person581_bacteria_2392.jpeg,1,0,20220115110614,20220115110614,0
28,0,0,NORMAL2-IM-1110-0001.jpeg,1,0,20220115110614,20220115110614,0
29,0,0,person1233_virus_2090.jpeg,1,0,20220115110614,20220115110614,0
30,0,0,person1816_bacteria_4674.jpeg,1,0,20220115110614,20220115110614,0
31,0,0,person1812_bacteria_4667.jpeg,1,0,20220115110614,20220115110614,0
32,0,0,IM-0757-0001.jpeg,1,0,20220115110614,20220115110614,0
33,0,0,person1253_virus_2129.jpeg,1,0,20220115110614,20220115110614,0
34,0,0,NORMAL2-IM-1326-0001.jpeg,1,0,20220115110614,20220115110614,0
35,0,0,person407_virus_811.jpeg,1,0,20220115110614,20220115110614,0
36,0,0,person1415_bacteria_3629.jpeg,1,0,20220115110614,20220115110614,0
37,0,0,NORMAL2-IM-0736-0001.jpeg,1,0,20220115110614,20220115110614,0
38,0,0,person1261_virus_2148.jpeg,1,0,20220115110614,20220115110614,0
39,0,0,person472_bacteria_2015.jpeg,1,0,20220115110614,20220115110614,0
40,0,0,NORMAL2-IM-0500-0001.jpeg,1,0,20220115110614,20220115110614,0
41,0,0,person437_bacteria_1887.jpeg,1,0,20220115110614,20220115110614,0
42,0,0,person60_bacteria_287.jpeg,1,0,20220115110614,20220115110614,0
43,0,0,person616_bacteria_2487.jpeg,1,0,20220115110614,20220115110614,0
44,0,0,NORMAL2-IM-0393-0001.jpeg,1,0,20220115110614,20220115110614,0
45,0,0,person1372_bacteria_3500.jpeg,1,0,20220115110614,20220115110614,0
46,0,0,person1431_bacteria_3698.jpeg,1,0,20220115110614,20220115110614,0
47,0,0,person1018_virus_1706.jpeg,1,0,20220115110614,20220115110614,0
48,0,0,person975_virus_1650.jpeg,1,0,20220115110614,20220115110614,0
49,0,0,NORMAL2-IM-0994-0001.jpeg,1,0,20220115110614,20220115110614,0
50,0,0,person449_bacteria_1940.jpeg,1,0,20220115110614,20220115110614,0
